,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
FNDA-1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Mtarix-corrected and,,,,,Matrix-corrected ratios,,,,,Uncorrected data,,,,,,,,
Data collected November 2014,,,,,,,,Internally standardized ratios,,,,,No correction for instrumental fractionation,,,,,No matrix correction or correction for instrumental fractionation,,,,,,,,
Fe Profile #2,,,Distance,,,,,,,,,,,,,,,,,,,,,,,
