Term,AY,Semester,Crn1,Crn2,School,Course1,Course2,Level,Schedule,Enroll
201530,2014-15,Fall,32788,,BD,MRKT212,,Undergraduate,Lecture,25
201530,2014-15,Fall,32790,,BD,MRKT325,,Undergraduate,Lecture,30
201530,2014-15,Fall,32791,,BD,MRKT330,,Undergraduate,Lecture,28
201530,2014-15,Fall,32793,,AD,RELG141,,Undergraduate,Lecture,25
201530,2014-15,Fall,32794,,AD,RELG141,,Undergraduate,Lecture,25
201530,2014-15,Fall,32795,,AD,RELG121,,Undergraduate,Lecture,24
201530,2014-15,Fall,32796,,BD,ACCT200,,Undergraduate,Lecture,21
201530,2014-15,Fall,32798,,BD,ACCT430,,Undergraduate,Lecture,22
201530,2014-15,Fall,32799,,BD,ACCT462,,Undergraduate,Lecture,19
201530,2014-15,Fall,32800,,AD,CREA397,,Undergraduate,Internship,9
201530,2014-15,Fall,32801,,BD,BLAW200,,Undergraduate,Lecture,25
201530,2014-15,Fall,32804,,SD,PHYS010,,Undergraduate,Lecture,35
201530,2014-15,Fall,32805,,SD,PHYS120,,Undergraduate,Lab,14
201530,2014-15,Fall,32806,,SD,PHYS120,,Undergraduate,Lecture,14
201530,2014-15,Fall,32807,,SD,PHYS390,,Undergraduate,Lecture,15
201530,2014-15,Fall,32808,,BD,MRKT329,,Undergraduate,Lecture,23
201530,2014-15,Fall,32812,,AD,COMD400,,Undergraduate,Independent Research,1
201530,2014-15,Fall,32814,,AD,COMD400,,Undergraduate,Independent Research,1
201530,2014-15,Fall,32822,,AD,SWRK415,,Undergraduate,Lecture,14
201530,2014-15,Fall,32828,,AD,RELG355,,Undergraduate,Lecture,23
201530,2014-15,Fall,32829,,BD,MGMT290,,Undergraduate,Seminar,16
201530,2014-15,Fall,32830,,BD,MGMT211,,Undergraduate,Lecture,25
201530,2014-15,Fall,32832,,AD,SOCI321,,Undergraduate,Lecture,14
201530,2014-15,Fall,32833,,BD,ACCT340,,Undergraduate,Lecture,26
201530,2014-15,Fall,32834,,BD,ACCT420,,Undergraduate,Lecture,19
201530,2014-15,Fall,32837,,AD,RELG350,,Undergraduate,Lecture,20
201530,2014-15,Fall,32838,,AD,CREA397,,Undergraduate,Performance,6
201530,2014-15,Fall,32839,,AD,CREA335,,Undergraduate,Performance,13
201530,2014-15,Fall,32841,,AD,ATDV110,,Undergraduate,Lecture,19
201530,2014-15,Fall,32842,,AD,ATDV480,,Undergraduate,Internship,1
201530,2014-15,Fall,32843,,AD,SWRK454,,Undergraduate,Lecture,10
201530,2014-15,Fall,32844,,SD,CHEM426,,Undergraduate,Lab,4
201530,2014-15,Fall,32847,,AD,ATDV480,,Undergraduate,Internship,1
201530,2014-15,Fall,32848,,AD,SPAN400,,Undergraduate,Lecture,8
201530,2014-15,Fall,32849,,BD,MRKT330,,Undergraduate,Lecture,32
201530,2014-15,Fall,32850,,BD,ECON300,,Undergraduate,Lecture,15
201530,2014-15,Fall,32851,,SD,BIOL260,,Undergraduate,Lecture,12
201530,2014-15,Fall,32864,,BD,ECON102,,Undergraduate,Lecture,26
201530,2014-15,Fall,32865,,SD,ENVA250,,Undergraduate,Lab,13
201530,2014-15,Fall,32866,,AD,POSC150,,Undergraduate,Lecture,19
201530,2014-15,Fall,32867,,BD,ACCT499,,Undergraduate,Independent Study,1
201530,2014-15,Fall,32868,,SD,CSIS210,,Undergraduate,Lecture,13
201530,2014-15,Fall,32869,,SD,CSIS210,,Undergraduate,Lab,12
201530,2014-15,Fall,32870,,BD,BLAW200,,Undergraduate,Lecture,24
201530,2014-15,Fall,32871,,BD,ACCT200,,Undergraduate,Lecture,23
201530,2014-15,Fall,32872,,SD,MATH105,,Undergraduate,Lecture,22
201530,2014-15,Fall,32873,,SD,MATH105,,Undergraduate,Lab,14
201530,2014-15,Fall,32874,,SD,MATH105,,Undergraduate,Lab,8
201530,2014-15,Fall,32875,,SD,MATH105,,Undergraduate,Lecture,18
201530,2014-15,Fall,32876,,SD,MATH105,,Undergraduate,Lab,8
201530,2014-15,Fall,32877,,SD,MATH105,,Undergraduate,Lab,10
201530,2014-15,Fall,32878,,SD,MATH105,,Undergraduate,Lecture,31
201530,2014-15,Fall,32879,,SD,MATH105,,Undergraduate,Lab,15
201530,2014-15,Fall,32880,,SD,MATH105,,Undergraduate,Lab,16
201530,2014-15,Fall,32881,,SD,MATH110,,Undergraduate,Lecture,29
201530,2014-15,Fall,32882,,SD,MATH110,,Undergraduate,Lab,15
201530,2014-15,Fall,32883,,SD,MATH110,,Undergraduate,Lab,15
201530,2014-15,Fall,32884,,SD,ENVA430,,Undergraduate,Tutorial,1
201530,2014-15,Fall,32888,,AD,ENGL011,,Undergraduate,Lecture,24
201530,2014-15,Fall,32889,,AD,PHIL315,,Undergraduate,Lecture,9
201530,2014-15,Fall,32890,,SD,BIOL450,,Undergraduate,Lecture,30
201530,2014-15,Fall,32891,,SD,BIOL450,,Undergraduate,Lab,14
201530,2014-15,Fall,32892,,SD,BIOL450,,Undergraduate,Lab,16
201530,2014-15,Fall,32893,,BD,QBUS100,,Undergraduate,Lecture,24
201530,2014-15,Fall,32894,,AD,PHIL103,,Undergraduate,Lecture,17
201530,2014-15,Fall,32895,,IN,HNRS400,,Undergraduate,Independent Research,1
201530,2014-15,Fall,32896,,IN,HNRS400,,Undergraduate,Independent Research,1
201530,2014-15,Fall,32898,,BD,MGMT290,,Undergraduate,Seminar,15
201530,2014-15,Fall,32899,,AD,CREA172,,Undergraduate,Performance,13
201530,2014-15,Fall,32900,,IN,FYSM100,,Undergraduate,Lecture,14
